Title,YouTube URL
Chaleya,https://www.youtube.com/watch?v=dRTsay1jVwg
Zinda Banda,https://www.youtube.com/watch?v=stjZKBhQ3lg
Tere Pyaar Mein,https://www.youtube.com/watch?v=IMg_UUJVpMo
Pyaar Hota Kayi Baar Hai,https://www.youtube.com/watch?v=2yeRRm9AIxI
O Bedardeya,https://www.youtube.com/watch?v=EdftT8GMU1U
Show Me The Thumka,https://www.youtube.com/watch?v=KgpFBdapobY
Mast Aankhein,https://www.youtube.com/watch?v=fpWBiaapGsU
Kya Loge Tum,https://www.youtube.com/watch?v=cAMHx-m9oh8
Zohrajabeen,https://www.youtube.com/watch?v=5KkHLDkPcq8
Heeriye,https://www.youtube.com/watch?v=RLzC55ai0eo
Ram Siya Ram,https://www.youtube.com/watch?v=xaciGzadGTo
Jai Shri Ram,https://www.youtube.com/watch?v=GXWfue9VhTY
Pasoori Nu,https://www.youtube.com/watch?v=Yiw354fkSOs
Naseeb Se,https://www.youtube.com/watch?v=Sk0DsJuJ_y8
Munda Sona Hoon Main,https://www.youtube.com/watch?v=9K5S4tMTVyo
Chedkhaniyan,https://www.youtube.com/watch?v=xtBsbbwV2YA
Character Dheela 2.0,https://www.youtube.com/watch?v=rIvnoryqXGY
Tum Kya Mile,https://www.youtube.com/watch?v=7IR65gAmvIY
What Jhumka?,https://www.youtube.com/watch?v=P1fIdFRnfqw
Billi Billi,https://www.youtube.com/watch?v=5bAxTGjcLs4
Naiyo Lagda,https://www.youtube.com/watch?v=lzEop75AeOk
Yentamma,https://www.youtube.com/watch?v=xb59o_op8Z0
Main Nikla Gaddi Leke,https://www.youtube.com/watch?v=SK0wXLWQ5Vo
Zamana,https://www.youtube.com/watch?v=gwboLXCFWtI
Zihaal e Miskin,https://www.youtube.com/watch?v=11OWuPcElJw
Tere Vaaste,https://www.youtube.com/watch?v=2JmppEYcc-w
Phir Aur Kya Chahiye,https://www.youtube.com/watch?v=9bDYGM9AcEw
Maan Meri Jaan (Afterlife),https://www.youtube.com/watch?v=ULcyLYD3o_M
Jhoome Jo Pathaan,https://www.youtube.com/watch?v=YxWlaYCA8MU
Aaj Ke Baad,https://www.youtube.com/watch?v=UmciPIE_Ows
Nazar Lag Jayegi,https://www.youtube.com/watch?v=j3DhujeixfA
Leke Prabhu Ka Naam,https://www.youtube.com/watch?v=r_7xv6iOs0g
Mere Sawaal Ka,https://www.youtube.com/watch?v=2qxBND1wIl4
Shehzada Title Track,https://www.youtube.com/watch?v=odjbz0vrb2k
Jee Rahe The Hum (Falling in Love),https://www.youtube.com/watch?v=IpzOGfexmv4
Hua Main,https://www.youtube.com/watch?v=5V04DETPF0o
Ve Kamleya,https://www.youtube.com/watch?v=QXJyMpxd210
Jamnapaar,https://www.youtube.com/watch?v=ix42Q9X870I
Dil Ka Telephone 2.0,https://www.youtube.com/watch?v=RIv9SiI2bSQ
Rabba Janda,https://www.youtube.com/watch?v=KfFbnOXWt4A
Dil Se Dil Tak,https://www.youtube.com/watch?v=SAJKiv73-a0
